rank,user,Q2,Q3,Q4
17,riyatrivedi_07,,,2090082741
20,Aaron_1055,2090075759,,2090111449
28,Sasidhar_9,,,2090104945
62,ankitlnct16,,2090087263,
71,AmrElhady1,2090069363,2090075349,
97,vedant_7115,2090124900,2090092648,2090137420
109,pikachu06,2090105823,,
137,laxman0413,2090103363,,
189,DK_3200,2090137726,,2090163502
208,rainboy1,2090159008,,2090153787
211,Avinash022,2090123428,2090099529,2090107998
224,PrarthnaKulshrestha,,,2090164535
240,Rachitsinghai,,,2090216067
241,raj_kumar77,2090110740,,
260,techie06667,,,2090157926
292,tahmid019,2090094795,,2090199757
304,gopal7685234,,,2090144634
308,3Vq3w7RXx4,2090188832,,
312,software9798,2090152138,,
366,shuklaabhinav824,2090140578,,
374,ishikarathore101,2090148639,2090179964,2090256844
391,Q8iat1lC1k,2090163386,,
407,GANGAPURAM_ABHIRAM,2090222847,,
408,mayankgagneja2002,2090167907,2090208831,2090222960
411,wJVyaYKwX9,,,2090243908
421,rajesh_135,2090205848,2090223968,2090246883
427,Sai_kiran_06,2090166293,,
441,coderG7,2090210716,,
451,Prince_Kurmi,,,2090254341
452,ThatDeparted2061,,,2090254549
461,spinnaker,2090252016,2090248265,2090259646
467,203050047,,,2090262657
471,prajwal3112004,2090184519,,
473,bredda,2090110914,,
495,Rasheed_7,,2090140164,2090133438
501,demonescool,,,2090256787
513,vatsc,2090219723,,2090254561
518,himi25,2090247638,,
525,ashutosh_0207,2090204971,,
540,itsmekrishna,,2090104321,2090139927
559,devansh__singh__07,,2090161479,2090222529
579,Its_Abhishek_Kashyap,,,2090264692
590,akshatjain1223334444,2090128430,,2090122878
592,KManikandan_18,2090170874,,2090137113
609,Karthi_G_A,2090075415,2090089218,
636,raahul12,2090082969,2090104991,
648,ayu-_s7,2090093538,,
649,codesbyaru,,2090110278,
655,meghanareddyy712,,2090098853,
682,sanjana2013,2090103601,,
700,HRD4317k,2090091901,,
717,Lwenkai,2090097071,,
720,saiteja9963,2090101415,2090072884,
724,do_or_diee,2090114306,2090094136,
782,KathpaliaChirag,2090088735,2090124365,
787,Lavoisier__,2090101268,2090112381,
793,namithagajawada,2090113865,2090125926,
805,wisesaint,2090111410,2090139068,
830,icantshare,2090130974,,
836,2001harshitabhatt,2090104521,2090144159,
869,NRadhanjan,2090102934,2090137157,
876,adityagupta33442,,2090149901,
883,Origin_X,2090138557,,
897,SayanSamajpati,2090139959,,
899,silkstep,,2090152134,
905,mrneel04,2090113401,,
915,Yogesh0508,2090101469,2090153652,
921,AlgoSage_69,2090102472,,
923,hetpethani17,2090101737,,
932,raghavkavya9,2090108737,2090142720,
936,KartikeyAgrawal,2090114930,,
963,Kushal25Gupta,2090146387,,
972,DHRUVIT18,2090134815,2090127653,
985,balajicit,2090119796,,
989,aman_7282,2090112190,,
1015,nfZegnyFV6,2090150912,2090131130,
1050,Pranshu_Nigam,2090141656,,
1066,pooja100,2090121340,2090155419,
1092,Nandinimehrotra,2090093814,2090169582,
1099,dhruv_404,2090108567,,
1102,sintu7781,2090129588,,
1110,ashutoshgola91,2090170601,,
1116,saiteja2944,,2090171111,
1121,hardik_111,2090118826,,
1124,anshikkayy,2090129735,2090171609,
1148,Ai_tookmy_job,,2090120967,
1151,21VlPtwu7f,2090128776,,
1159,Aayu_Shankar,2090136650,,
1194,anshuman_0711,2090104372,2090176952,
1211,saigowtham397,2090127362,,
1220,keerthi_112,2090166435,2090153942,
1224,gaganpratap8,2090117990,2090092723,
1226,anjali_02rajput,2090122696,2090179177,
1242,moali007,2090142775,,
1244,SammanGond,2090117766,2090156087,
1271,AdarshBanka,2090158296,,
1274,Zoro_1710,2090126577,,
1276,ft_alkanol,,2090170938,
1286,ekshith_sai,2090156237,2090171823,
1314,RizwanSaifi571,2090149784,2090143682,
1325,Manas_26,2090117680,2090186424,
1329,arpit_maddhesiya,2090115557,2090186710,
1365,AyushYadav01,2090139301,,
1400,chiragkhati1991,2090146850,,
1404,taranpalsingh,2090142256,2090179360,
1415,Varun_404,2090131236,2090095598,
1419,priyanshukumar425,2090138827,,
1421,sattuuu,2090151547,,
1431,shreyomer10,2090108125,2090181080,
1435,ozair24680,2090161056,,
1449,Howltout,,2090193601,
1474,Harsh_Pratap_Singh-18,2090195060,,
1501,ytprajapati058,2090134503,,
1502,tejaswini_256,,2090184544,
1535,Varun_DSA_025,,2090197817,
1536,Anusha9366,2090163633,2090174599,
1544,bhavya1010,2090127077,2090162948,
1546,prag_s,2090170228,,
1569,sriyanshsh,2090128871,,
1575,devanshbansal135,2090108655,2090188286,
1586,Devaanshdubey001,2090146967,,
1606,UhM6irFDvW,,2090189732,
1619,AnshGupta397,2090138988,2090190750,
1622,sourabh_verma18,2090111228,,
1627,Ayush_bathra18,2090162107,2090191116,
1645,xOIeZFMItu,2090136596,2090180450,
1667,nitishnk17,2090155002,2090181661,
1687,djain19,2090153823,2090194306,
1692,23wh1a1271,2090170922,,
1731,Ayanakoji_Dark,2090154600,,
1761,Deevanshik,2090205193,2090208549,
1764,Pencilll,,2090175695,
1769,aman330,2090198181,2090131608,
1776,Badal_Mandal,,2090168865,
1785,ravikrishna_27,2090138182,,
1789,krishitaliya,2090137359,,
1799,MeetMRP,,2090164316,
1844,Palak_Pandey,2090193979,,
1887,Punk_kid,2090116737,,
1908,user1199KS,2090191540,,
1910,7FoboYlbo3,,2090216015,
1918,prathambatra29,2090148111,2090194359,
1924,kit28csea077,,2090194692,
1968,rajtsi,2090218837,2090158232,
1973,Agrahari_04,,2090197470,
1994,Shivendra_25,2090159779,2090220030,
2038,Khushi_Kumari2006,2090188613,2090222378,
2046,apur1a,,2090201761,
2055,dkthegod19,2090142704,,
2058,syedmohammadaquib,2090202177,,
