rank,user,Q2,Q3,Q4
2861,vasutenguriya,,2090728102,
4721,kkumaraditya,2090691588,2090764863,
4791,the_gandiva,,2090765642,
4822,maniking1299,,2090776061,
4857,ManasaSriram,2090760284,2090785642,
4866,avtanshtripathi885,,2090785799,
4894,tt3rbCNj0x,,2090768381,
4915,Tufail_Anwar,,2090768610,
4997,harshkr_g,,2090779186,
5027,mystery9421,,2090788475,
5064,AdarshSE,,2090771423,
5110,greedy_luffy_30,,2090781388,
5113,JyotiKumari_25,2090708603,2090753091,
5163,aadarsh_66,,2090773318,
5165,jairajx,,2090773351,
5189,M__Niharika,,2090791385,
5219,7vG4GmSMAP,2090701907,,
5222,SAI_TEJA_5656,2090705227,2090774424,
5227,Om_kumar1419,,2090783528,
5254,dhrumit1810,2090696451,,
5288,james007_nagar,,2090775633,
5291,bhavya1010,,2090775656,
5293,swetha__sri,,2090775676,
5342,404_XOR,,2090757894,
5350,Aditya_raj312,,2090776876,
5359,Dilip_22,,2090785998,
5409,Hritikthakur,2090702266,,
5436,Saiteja_1109,,2090769828,
5441,Arihantboss,,2090765980,
5455,Bhu1reddy,,2090796380,
5472,scorpion_89,,2090779629,
5485,SakshiGupta02,,2090779926,
5569,rishi_121007,2090753179,2090747453,
5595,imhtiwari,2090770819,2090790629,
5612,Dimpal_Agarwal,,2090782368,
5632,9H3SPI3zH1,,2090780648,
5647,ritikporwal,,2090791776,
5669,satyamtek1204,,2090783918,
5703,ashafaf,,2090793134,
5726,IHate_Recursion,2090747326,,
5751,Prachi__Gupta,,2090794028,
5847,codeforces7297929447,,2090787205,
5861,chinmay_2707rs,2090794780,2090803975,
5864,bhanvi05,2090772283,,
5913,SpiderMan2906,2090791510,,
5916,Saurav_kumar12,2090734719,2090805067,
5967,Angshuman262003,,2090797740,
5978,avidata02,,2090797897,
6035,Anas_2007,2090804259,2090806782,
6046,ashwini-jha901,,2090790539,
6089,RudraPrasad001,,2090773682,
6098,Kilari_Varshith,,2090799773,
6102,apur1a,,2090783039,
6111,yogiraj_151,,2090799989,
6147,tjsm,,2090800554,
6163,special_forgpt,,2090792644,
6204,mithilesh1729,,2090801848,
6207,Mohana_sree_21,,2090785147,
6242,THFC,2090785911,,
6260,k_r_i_t,,2090794524,
6293,Phantonhurricane2006,,2090811359,
6315,eMnpioV6Y0,,2090803744,
6321,Logavani22,2090788571,,
6342,AhsanEqubal,,2090778942,
6343,Katamanusree,,2090804172,
6360,Code_with_ansh,,2090796421,
6365,Karannn2002,,2090796489,
6372,Himanshu_Banasal,2090682925,,
6439,thesequence,2090781099,2090806248,
6452,yashsabne,,2090772368,
6520,Prii_aani,2090728720,2090782801,
6560,RiyaKumari30,2090747590,,
6574,kri5H4nkr49Hu1c,,2090808414,
6591,swati1229,,2090800752,
6618,dandesathvik,,2090809123,
6687,Praveen_Raj_Thulasi_,2090725554,,
6726,guptashubham1305,,2090768385,
6736,SrijaniVarma23,2090818898,,
6743,ZORO666,2090752371,,
6771,krishpatil18,,2090803526,
6773,M8FmIQrJvA,,2090819303,
6779,_aryant_06,,2090819373,
6855,raunakdeep,,2090797202,
6873,Sumanth_vardhinedi,,2090805687,
6874,S4M1R5v67R,,2090789206,
6878,adigupta12,,2090806452,
6894,Yash81,,2090814069,
6904,akshaykalyan7,,2090806288,
6906,kvamshiii,,2090798276,
6915,nasty_riddle,,2090814443,
6925,Wraith223,2090732762,2090790238,
6931,Devdarsshan,,2090822352,
6948,ashish_yadav23,2090705511,,
6960,srijansingh2003,,2090799407,
6980,Sonu01012003kumar,,2090815687,
7017,AshishLukka,,2090800350,
7047,Nithishkannan2005,2090678344,,
7053,Ranbeer11,,2090784412,
7062,kvijay24,,2090775658,
7065,Sri_Chandhana_Kandula,,2090793092,
7085,Aditya987,,2090817595,
7172,NJZ9UVWnBx,,2090805621,
7237,Scylla0406,,2090805117,
7245,Deepanshu-Rawat,,2090820860,
7273,Tanmay_0408,2090727868,,
7291,sathviknampelli,,2090789528,
7295,ShivaDev1,,2090806172,
7310,saivignesh9160,2090781598,,
7333,sheetal_704,,2090822392,
7339,Prateek816,2090717223,,
7359,Manis7,,2090822970,
7370,abhaymisal364,,2090830485,
7376,sukhdev2024,,2090830582,
7409,PARV_07,2090800905,,
7436,M_Sai_Likhith_,,2090824140,
